GENESIS-Tabelle: 13211-0008
Arbeitslose, Arbeitslosenquoten, Gemeldete Arbeitsstellen:;;;;;;
Bundesländer, Monate;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;
;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen
;;;Anzahl;Prozent;Prozent;Anzahl
Mecklenburg-Vorpommern;2015;November;81378;9,8;10,7;11601
Mecklenburg-Vorpommern;2015;Dezember;85634;10,3;11,2;11197
Mecklenburg-Vorpommern;2016;Januar;95197;11,5;12,5;11689
Mecklenburg-Vorpommern;2016;Februar;95151;11,5;12,5;12676
Mecklenburg-Vorpommern;2016;März;90936;11,0;11,9;13423
Mecklenburg-Vorpommern;2016;April;84195;10,2;11,0;13704
Mecklenburg-Vorpommern;2016;Mai;78741;9,5;10,4;13604
Mecklenburg-Vorpommern;2016;Juni;75839;9,2;10,0;13647
Mecklenburg-Vorpommern;2016;Juli;74608;9,0;9,8;13352
Mecklenburg-Vorpommern;2016;August;74307;9,0;9,8;13296
Mecklenburg-Vorpommern;2016;September;72238;8,7;9,5;12987
Mecklenburg-Vorpommern;2016;Oktober;70970;8,6;9,4;12553
Mecklenburg-Vorpommern;2016;November;74557;9,0;9,8;12311
Mecklenburg-Vorpommern;2016;Dezember;...;...;...;...
Niedersachsen;2015;Januar;277720;6,7;7,4;47682
Niedersachsen;2015;Februar;276639;6,7;7,4;50554
Niedersachsen;2015;März;267113;6,4;7,2;52678
Niedersachsen;2015;April;258809;6,2;6,9;53960
Niedersachsen;2015;Mai;251524;6,0;6,6;54914
Niedersachsen;2015;Juni;246598;5,9;6,5;56283
Niedersachsen;2015;Juli;255111;6,1;6,7;57649
Niedersachsen;2015;August;260827;6,2;6,9;58327
Niedersachsen;2015;September;249343;5,9;6,6;57339
Niedersachsen;2015;Oktober;243244;5,8;6,4;58564
Niedersachsen;2015;November;242469;5,8;6,4;58614
Niedersachsen;2015;Dezember;247810;5,9;6,5;57341
Niedersachsen;2016;Januar;268079;6,4;7,1;56091
Niedersachsen;2016;Februar;267455;6,4;7,0;59885
Niedersachsen;2016;März;260610;6,2;6,9;62264
Niedersachsen;2016;April;252337;6,0;6,6;61892
Niedersachsen;2016;Mai;247139;5,9;6,4;62989
Niedersachsen;2016;Juni;246653;5,8;6,4;64538
Niedersachsen;2016;Juli;257748;6,1;6,7;64317
Niedersachsen;2016;August;252136;6,0;6,6;64494
Niedersachsen;2016;September;247446;5,9;6,5;64813
Niedersachsen;2016;Oktober;243183;5,8;6,3;65406
Niedersachsen;2016;November;241724;5,7;6,3;63716
Niedersachsen;2016;Dezember;...;...;...;...
Nordrhein-Westfalen;2015;Januar;767402;8,3;9,1;98403
Nordrhein-Westfalen;2015;Februar;767631;8,3;9,1;104289
Nordrhein-Westfalen;2015;März;759200;8,2;9,0;109553
Nordrhein-Westfalen;2015;April;753659;8,1;9,0;112112
Nordrhein-Westfalen;2015;Mai;743317;7,9;8,7;114195
Nordrhein-Westfalen;2015;Juni;742552;7,9;8,7;117035
Nordrhein-Westfalen;2015;Juli;760474;8,1;8,9;120754
Nordrhein-Westfalen;2015;August;750320;8,0;8,8;120753
Nordrhein-Westfalen;2015;September;730975;7,8;8,6;123699
Nordrhein-Westfalen;2015;Oktober;723558;7,7;8,5;127539
Nordrhein-Westfalen;2015;November;714641;7,6;8,4;126845
Nordrhein-Westfalen;2015;Dezember;717003;7,7;8,4;121578
Nordrhein-Westfalen;2016;Januar;752056;8,0;8,8;119038
Nordrhein-Westfalen;2016;Februar;753759;8,1;8,9;124995
Nordrhein-Westfalen;2016;März;748050;8,0;8,8;128863
Nordrhein-Westfalen;2016;April;738041;7,9;8,7;130668
Nordrhein-Westfalen;2016;Mai;724810;7,7;8,4;133720
Nordrhein-Westfalen;2016;Juni;718457;7,6;8,4;136439
Nordrhein-Westfalen;2016;Juli;732949;7,8;8,5;138657
Nordrhein-Westfalen;2016;August;733188;7,8;8,5;140248
Nordrhein-Westfalen;2016;September;713706;7,6;8,3;142001
Nordrhein-Westfalen;2016;Oktober;701693;7,4;8,2;144996
Nordrhein-Westfalen;2016;November;695294;7,4;8,1;142656
Nordrhein-Westfalen;2016;Dezember;...;...;...;...
Rheinland-Pfalz;2015;Januar;123807;5,7;6,4;23584
Rheinland-Pfalz;2015;Februar;123337;5,7;6,4;25087
Rheinland-Pfalz;2015;März;118863;5,5;6,1;26056
Rheinland-Pfalz;2015;April;114644;5,3;5,9;27000
Rheinland-Pfalz;2015;Mai;110961;5,1;5,6;26691
Rheinland-Pfalz;2015;Juni;108971;5,0;5,5;27640
Rheinland-Pfalz;2015;Juli;111426;5,1;5,7;28404
Rheinland-Pfalz;2015;August;114510;5,3;5,8;29353
